name,released,steam_id,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags,platforms,genre,Platform
Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410.0,69.99,16650.0,555.0,18782.0,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000.0,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG,PC
Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410.0,69.99,16650.0,555.0,18782.0,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000.0,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG,PlayStation
Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410.0,69.99,16650.0,555.0,18782.0,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000.0,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG,Xbox
Atelier Yumia The Alchemist of Memories  the Envisioned Land,2025-03-21,3123410.0,69.99,16650.0,555.0,18782.0,64.505,"Action, Adventure, RPG","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,932000.0,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Action RPG', 'Party-Based RPG', 'Hack and Slash', 'Crafting', 'Third-Person', 'Collectathon', 'Female Protagonist', 'Exploration', 'JRPG', 'Fantasy', 'Open World', 'Story Rich', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Cute']","PC, PlayStation, Xbox, Nintendo",RPG,Nintendo
Assassins Creed Shadows,2025-03-20,3159330.0,69.99,175000.0,5849.0,47247.0,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000.0,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']","PC, PlayStation, Xbox",RPG,PC
Assassins Creed Shadows,2025-03-20,3159330.0,69.99,175000.0,5849.0,47247.0,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000.0,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']","PC, PlayStation, Xbox",RPG,PlayStation
Assassins Creed Shadows,2025-03-20,3159330.0,69.99,175000.0,5849.0,47247.0,82.493,"Action, Adventure, RPG",Ubisoft,Ubisoft,AAA,9800000.0,"['Singleplayer', 'RPG', 'Ninja', 'Assassin', 'Action-Adventure', 'Action RPG', 'Historical', 'Third-Person', 'Cinematic', 'Parkour', 'Swordplay', 'Nonlinear', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Atmospheric', 'Violent', 'Multiple Endings']","PC, PlayStation, Xbox",RPG,Xbox
BLEACH Rebirth of Souls,2025-03-20,1689620.0,59.99,80220.0,2674.0,28582.0,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000.0,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']","PC, PlayStation, Xbox",Fighting,PC
BLEACH Rebirth of Souls,2025-03-20,1689620.0,59.99,80220.0,2674.0,28582.0,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000.0,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']","PC, PlayStation, Xbox",Fighting,PlayStation
BLEACH Rebirth of Souls,2025-03-20,1689620.0,59.99,80220.0,2674.0,28582.0,42.259,Action,TAMSOFT CORPORATION,Bandai Namco,AAA,3800000.0,"['Action', 'Singleplayer', 'Multiplayer', 'Drama', 'Fighting', 'Dark Fantasy', 'PvE', 'Comic Book', 'Swordplay', '3D Fighter', 'Combat', '3D', 'Story Rich', 'Anime', 'Great Soundtrack', 'PvP']","PC, PlayStation, Xbox",Fighting,Xbox
